问题,答案,参考,us3路径
大全能源截至2024年第三季度末拥有多少现金及现金等价物和定期存款？资产负债率为多少？,截至2024年第三季度末，大全能源各类现金及现金等价物合计约为58.3亿元，还有约100亿元定期存款，资产负债率仅11%。,截止Q3末，公司各类现金及现金等价物合计约为58.3亿元，还有约100亿元定期存款，在手现金充足。当前公司资产负债率仅11%，资产负债情况十分安全。,pdf/2024-12-12/email_c9520d49-f12a-5142-99f2-00d12a4c6290.md
恒立液压在全球液压元件行业的市场份额和主要客户有哪些？,恒立液压全球市场份额为3.8%；客户覆盖美国卡特彼勒、日本神钢、日立建机、久保田建机、三一、徐工、柳工、中铁工程、铁建重工等世界500强和全球知名主机客户。,恒立液压...全球市场份额3.8%...客户覆盖美国卡特彼勒、日本神钢、日立建机、久保田建机、三一、徐工、柳工、中铁工程、铁建重工等世界500强和全球知名主机客户。,pdf/2024-12-12/email_94daf39f-3be1-541f-9c11-ce35aa439ce1.md
2024年前三季度中国中车铁路装备维保收入占比提升到多少，有何趋势？,2024年上半年中国中车铁路装备维保收入占比提升到47.6%，公司铁路装备维保收入高速增长。,根据中国中车公告，1H24公司铁路装备维保收入占比提升到47.6%，看好公司铁路装备维保收入高速增长。,pdf/2024-12-12/email_94daf39f-3be1-541f-9c11-ce35aa439ce1.md
2024-2026年海信视像的归属于母公司净利润及增长率分别是多少？,预计2024-2026年海信视像实现归属于母公司的净利润分别为20.03亿、23.70亿、27.57亿元，对应同比增速为-4.45%、+18.37%、+16.32%。,我们预测，24-26年公司实现营收587.8/648.5/720.2亿元，同比+9.6%/+10.3%/+11.1%，归母净利润20.0/23.7/27.6元，同比一4.5%/+18.4%/+16.3%，对应EPS为1.54/1.82/2.11元，当前股价对应PE为14、12、10倍。,pdf/2024-12-12/email_aebd2828-1216-5136-bebe-c5a037e4477c.md
2024年上半年海信视像系线下零售额的市场份额有多少，并且年初相比提升了多少个百分点？,2024年上半年海信系线下零售额份额由年初的32%上升至36%。,上半年海信线下表现亮眼，核心新品聚焦中高端，维持龙头品牌的调性，线下优势继续扩大，据奥维云网，海信系线下零售额份额由年初的32%上升至36%。,pdf/2024-12-12/email_aebd2828-1216-5136-bebe-c5a037e4477c.md
2024年前三季度立讯精密的营业收入和归母净利润分别是多少？,2024年前三季度，立讯精密实现营业收入1771.77亿元，实现归母净利润90.75亿元。,事件：1-3Q24公司实现营业收入1771.77亿元 （YoY+13.67%），实现归母净利润90.75亿元 （YoY+23.06%），扣非归母净利润81.17亿元 （YoY+15.43%）。,pdf/2024-12-12/email_236a9012-5fda-5a0a-b2bc-56ef8db46de1.md
立讯精密2024年的盈利预测区间是多少？,立讯精密预计2024年归母净利润为131.43亿元-136.91亿元，同比增长20.0%-25.0%；预计扣非净利润114.86亿元-127.13亿元，同比增长12.76%-24.82%。,公司公布24年盈利预测：预计归母净利润131.43亿元-136.91亿元，同比增长：20.0%-25.0%；预计扣非净利润114.86亿元-127.13亿元，同比增长：12.76%一 24. 82%,pdf/2024-12-12/email_236a9012-5fda-5a0a-b2bc-56ef8db46de1.md
立讯精密在智能驾驶和数据中心领域的业务进展如何？,通讯及数据中心板块，公司协同头部芯片厂商前瞻性为全球主流数据中心及云服务厂商共同制定800G、1.6T等下一代高速连接标准，部分细分领域产品如外部高速铜缆、线缆及连接器组件、背板连接器及背板线缆、HSIO、SSIO等更是以领先的技术、成本优势和优异的产品表现赢得了客户的认可。在此基础上，全面拉动光连接、散热、电源模块等产品与头部客户展开进一步深度合作。,通讯及数据中心板块，公司协同头部芯片厂商前瞻性为全球主流数据中心及云服务厂商共同制定800G、1.6T等下一代高速连接标准，部分细分领域产品如外部高速铜缆、线缆及连接器组件、背板连接器及背板线缆、HSI0、SSI0等更是以领先的技术、成本优势和优异的产品表现赢得了客户的认可。在此基础上，全面拉动光连接、散热、电源模块等产品与头部客户展开进一步深度合作,pdf/2024-12-12/email_236a9012-5fda-5a0a-b2bc-56ef8db46de1.md
国金证券如何筛选推荐智谱AI等主题投资方向？,国金证券通过以下逻辑精选智谱AI等概念指数：1）先筛选出杠杆资金增加较多，同时高点以来下跌幅度较大的53个概念指数；2）再从中筛选出19个边际业绩改善的概念指数；3）进一步筛选出发布时间最新的10个概念指数，主要包括智谱AI、车路云、PEEK材料、SPD等概念指数。,我们在293个万得热门概念指数中按以下逻辑精选出10个概念指数以供投资参考：1）先筛选出杠杆资金增加较多，同时高点以来下跌幅度较大的53个概念指数；2）再从中筛选出19个边际业绩改善的概念指数；3）进一步筛选出发布时间最新的10个概念指数，主要包括智谱AI、车路云、PEEK材料、SPD等概念指数。,pdf/2024-12-12/email_edba3ee0-e4c4-5d4f-9486-99bc5b230e2e.md
国金证券对科创债投资怎样提出筛选建议？,国金证券建议关注AA+及以上、年换手率在100%以上、发行人为央国企的3年期以内的科创债，并根据行业与利差特点，兼顾发行人主体偿债能力和现金流情况，关注建筑与工程、煤炭与消费用燃料、综合类、电力等行业的科创债。,投资者可关注AA+及以上、年换手率在100%以上、发行人为央国企的3年期以内的科创债；根据行业与利差特点，兼顾发行人主体偿债能力和现金流情况，可关注建筑与工程、煤炭与消费用燃料、综合类、电力等行业的科创债。,pdf/2024-12-12/email_edba3ee0-e4c4-5d4f-9486-99bc5b230e2e.md
国金证券依据什么策略配置11月A股行业板块？,国金证券建议11月行业配置重视科技主线：（一）首选成长：1、TMT，尤其电子、计算机；2、国防军工；3、医药生物等。（二）次选消费：1、社服；2、医美；3、白酒；4、轻工。（三）底仓配置依然是黄金+创新药。,11月行业配置：重视科技主线（一）首选成长：1、TMT，尤其电子、计算机；2、国防军工；3、医药生物等。（二）次选消费：1、社服；2、医美；3、白酒；4、轻工。（三）底仓配置依然是黄金+创新药。,pdf/2024-12-12/email_edba3ee0-e4c4-5d4f-9486-99bc5b230e2e.md
宇通客车2024年第三季度的归属于母公司净利润及其同比变化情况如何？,2024年第三季度宇通客车归母净利润为7.58亿元，同比增长30.67%。,公司发布2024年三季报，第三季度实现营收77.39亿元，同比下降1.25%，归母净利润7.58亿元，同比增长30.67%，扣非净利润6.39亿元，同比增长41.08%。,pdf/2024-12-12/email_2160e02d-e8a1-58f0-897b-e02de219d2d5.md
2024年前三季度宇通客车的现金分红方案如何，分红比例是多少？,宇通客车发布前三季度利润分配方案，每股派发现金股利0.5元（含税），对应现金分红比例约45.52%。,公司发布前三季度利润分配方案，每股派发现金股利0.5元（含税），对应现金分红比例约45.52%。,pdf/2024-12-12/email_2160e02d-e8a1-58f0-897b-e02de219d2d5.md
截至本报告期，宇通客车的控股股东及其持股比例是多少？,宇通客车的控股股东为郑州宇通集团有限公司，持股比例为37.70%。,主要股东<br>郑州宇通集团有限公司 37.70%,pdf/2024-12-12/email_2160e02d-e8a1-58f0-897b-e02de219d2d5.md
华创证券预计2025年中国利率债和信用债净融资规模分别是多少？,华创证券预计2025年利率债净融资或在15.7万亿附近，信用债净融资或在3万亿左右。,利率债方面，预计2025年政府债供给或在14万亿，利率债供给或在15.7万亿...信用债方面，预计2025年净融资规模或在3万亿左右，产业债仍为供给主力。,pdf/2024-11-21/email_14682982-7052-5b32-9d51-72a04f54feaa.md
华创证券认为2025年银行自营和保险机构的债券配债增量分别为多少？,预计2025年银行自营配债增量或维持在9.4万亿附近，保险机构配债增量或上升至4万亿。,银行自营：预计2025年配债增量（信贷收支表口径）或维持在9.4万亿附近...保险：负债驱动下预计2025年配债增量（保险资金运用口径）或上升至4万亿。,pdf/2024-11-21/email_14682982-7052-5b32-9d51-72a04f54feaa.md
华创证券关于2025年上半年与下半年债市供需强弱的判断如何？,2025年债市供需强弱指数上半年高于下半年，Q1-Q4分别为73.8%、92.1%、51.7%和65%，上半年行情驱动更顺畅。,模型显示中性情境下2025年Q1-Q4债券供需强弱指数分别为73.8%、92.1%、51.7%和65%。一季度在配置盘“开门红”、非银机构早配置早收益的思路下供需条件或相对较好 ... 三季度供给往往进入全年高峰、需警惕机构钱多的逆转 ...,pdf/2024-11-21/email_14682982-7052-5b32-9d51-72a04f54feaa.md
光大证券股份有限公司的主要经营证券业务范围包括哪些？,光大证券股份有限公司的经营范围包括证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；为期货公司提供中间介绍业务；证券投资基金代销；融资融券业务；中国证监会批准的其他业务。此外，公司还通过全资或控股子公司开展资产管理、直接投资、期货、基金管理以及香港证券业务。,本公司经营范围：证券经纪；证券投资咨询；与证券交易、证券投资活动有关的财务顾问；证券承销与保荐；证券自营；为期货公司提供中间介绍业务；证券投资基金代销；融资融券业务；中国证监会批准的其他业务。此外，本公司还通过全资或控股子公司开展资产管理、直接投资、期货、基金管理以及香港证券业务。,pdf/2025-04-19/email_e9b45328-a062-59f8-803c-b3f2b6b55143.md
光大证券股份有限公司是中国证监会批准的哪一年成立的创新试点证券公司？,光大证券股份有限公司成立于1996年，是中国证监会批准的首批三家创新试点证券公司之一。,光大证券股份有限公司(以下简称“本公司”)成立于1996年，是中国证监会批准的首批三家创新试点证券公司之一，也是世界500强企业——中国光大集团股份公司的核心金融服务平台之一。,pdf/2025-04-19/email_e9b45328-a062-59f8-803c-b3f2b6b55143.md
光大证券股份有限公司及其附属机构在报告所提及证券上的利益冲突风险有哪些？,光大证券股份有限公司及其附属机构可能持有报告中提及的公司所发行证券的头寸并进行交易，也可能为这些公司提供或正在争取提供投资银行、财务顾问或金融产品等相关服务，存在潜在利益冲突风险。,在法律允许的情况下，本公司及其附属机构可能持有报告中提及的公司所发行证券的头寸并进行交易，也可能为这些公司提供或正在争取提供投资银行、财务顾问或金融产品等相关服务。投资者应当充分考虑本公司及本公司附属机构就报告内容可能存在的利益冲突，勿将本报告作为投资决策的唯一信赖依据。,pdf/2025-04-19/email_e9b45328-a062-59f8-803c-b3f2b6b55143.md
迈为股份在HJT设备领域的市场前景如何受最新光伏制造行业政策影响？,本报告认为该项政策利好HJT等更高效率的新技术新产能，看好电池片环节的HJT设备龙头迈为股份。,投资建议：看好电池片环节的HJT设备龙头迈为股份……我们认为该项政策利好HJT等更高效率的新技术新产能。,pdf/2024-12-12/email_cc86bb6e-bac4-5318-a66d-895040eb0230.md
晶盛机电在低氧单晶炉领域将受到哪些新政策利好？,政策专门针对HJT增加了对N型单晶硅片的低氧要求，利好低氧单晶炉技术选代（晶盛机电）。,此次政策专门针对HJT增加了新建项目HJT电池用N型单晶硅片...氧含量减少2ppma至12ppma，利好低氧单晶炉技术选代（晶盛机电）。,pdf/2024-12-12/email_cc86bb6e-bac4-5318-a66d-895040eb0230.md
迈为股份生产的HJT设备相较于TOPCon、BC等技术有何资源消耗优势？,HJT工序仅有4道，水耗显著低于其它技术路线，2023年TOPCon水耗为600吨，HJT为220吨，BC为1000吨+。未来新建项目会倾向于低水耗的HJT方向（迈为股份）。,由于HJT工序很短仅有4道，而TOPCon、BC等为十几道工序，所以HJT水耗显著低于其它技术路线，2023年TOPCon水耗为600吨，HJT为220吨，BC为1000吨+，故未来新建项目会倾向于低水耗的HJT方向 (迈为股份）。,pdf/2024-12-12/email_cc86bb6e-bac4-5318-a66d-895040eb0230.md
截至2024年11月15日，海通证券研究所统计的全市场固收+基金总规模和产品数量是多少？,截至2024.11.15，全市场共有1190只固收+基金，规模合计16442.95亿元。,据统计，截至2024.11.15，全市场共有1190只固收+基金，规模合计16442.95亿元。,pdf/2024-11-21/email_390a9ffc-1f64-5510-9029-9c7902d69127.md
银华中证A500ETF于何时成立，主要跟踪什么指数，其管理团队成员有哪些？,银华中证A500ETF（基金代码：159339）成立于2024年9月26日，紧密跟踪中证A500指数收益率（指数代码：000510.SH），基金经理为马君女士、谭跃峰先生。,银华中证A500ETF（基金代码：159339）成立于2024年9月26日，基金经理为马君女士、谭跃峰先生。基金紧密跟踪中证A500指数收益率（指数代码：000510.SH），追求跟踪偏离度和跟踪误差最小化。,pdf/2024-12-12/email_e5956ddc-b63f-5078-9e5a-554e34a81713.md
银华中证A500ETF的管理费率和托管费率分别是多少？,银华中证A500ETF的基金管理费率为0.15%，基金托管费率为0.05%。,基金管理费率0.15%，基金托管费率0.05%。,pdf/2024-12-12/email_e5956ddc-b63f-5078-9e5a-554e34a81713.md
2024年10月15日银华中证A500ETF上市首日吸引的资金流入是多少？,银华中证A500ETF在2024年10月15日上市首日即吸引了11.45亿元的资金流入。,A500ETF在15日上市首日即吸引了11.45亿元的资金流入，并在随后几个交易日中，每日的资金净流入均稳定在10亿元以上。,pdf/2024-12-12/email_e5956ddc-b63f-5078-9e5a-554e34a81713.md
2024年前三季度中国电建归属于母公司股东的净利润是多少？同比增长（下降）情况如何？,2024年1-9月中国电建实现归母净利润88亿元，同比下降7.2%。,公司发布2024年三季报，1-9月营业收入约4257亿元，同比增长1.2%，归母净利润88亿元，同比下降7.2%。,pdf/2024-12-12/email_82e0aa01-0de1-5018-bcce-bcb84c61a22c.md
2024年前三季度中国电建境外新增合同金额及其同比增速是多少？,2024年前三季度中国电建境外新增合同金额为1760亿元，同比增长15.42%。,分地区来看，1-9月境内、境外新增合同金额分别为6851亿元、1760亿元，分别同比增长3.13%、15.42%，境外合同金额增速较快。,pdf/2024-12-12/email_82e0aa01-0de1-5018-bcce-bcb84c61a22c.md
中国电建2024-2026年每股收益（EPS）预测分别为多少元？,中国电建2024-2026年每股收益（EPS）分别预测为0.81元、0.90元、0.97元。,我们预计公司2024-2026年EPS分别为0.81、0.90、0.97元。,pdf/2024-12-12/email_82e0aa01-0de1-5018-bcce-bcb84c61a22c.md
2024年10月顺丰控股的单票收入是多少，同比和环比如何变化？,2024年10月顺丰控股的单票收入为14.64元，同比下降10.0%，环比下降8.5%。,<tr><td>顺丰</td><td>14.64</td><td>-10.0%</td><td>-8.5%</td><td>15.75</td><td>-2.3%</td></tr>,pdf/2024-12-12/email_d29b0392-a9d8-5a66-91a5-cd3d4162e7db.md
2024年陕西煤业的中期分红金额及分红比例是多少？,陕西煤业年中分红10%，分红金额约10.6亿元。,其中，陕西煤业年中分红10%，分红金额约10.6亿元；中煤能源年中分红30%，分红金额达到约29.4亿元；上海能源年中分红30.65%，分红金额约为1.4亿元；充矿能源年中分红30%，分红金额为23亿。,pdf/2024-12-12/email_a05b3e91-c19b-5d86-801a-8b0d59f767fa.md
2025年中国神华的每股收益（EPS）预测为多少，投资评级是什么？,中国神华2025年的每股收益（EPS）预测为3.08，投资评级为增持。,中国神华 601088.SH 3.00 3.08 3.09 13.36 13.03 12.99 增持,pdf/2024-12-12/email_a05b3e91-c19b-5d86-801a-8b0d59f767fa.md
2024年10月五粮液在线上渠道的销售额及其增长情况如何？,2024年10月五粮液销售额达8.6亿元，同比增1259.7%，其中销量同比增528.2%，均价同比增116.4%。,五粮液销售额达8.6亿元，同比增1259.7%，其中销量同比增528.2%，均价同比增116.4%；,pdf/2024-12-12/email_95f35764-85a5-517a-b2c1-80a628a99a5b.md
长春高新2024年回购股份的资金规模及回购股份数量分别是多少？,本次拟回购资金总额不低于人民币3亿元（含）、不超过人民币5亿元（含），按上限人民币5亿元测算，预计回购股份数量约为312.50万股，按下限人民币3亿元测算，预计回购股份数量约为187.50万股，约占公司总股本的比例分别为0.78%和0.47%。,根据公司公告，本次拟回购资金总额不低于人民币3亿元（含）、不超过人民币5亿元（含），回购价格不超过人民币160.00元/股。按本次拟用于回购的资金总额上限人民币5亿元测算，预计回购股份数量约为312.50万股，约占公司总股本的比例为0.78%；按本次拟用于回购的资金总额下限人民币3亿元测算，预计回购股份数量约为187.50万股，约占公司总股本的比例为0.47%。,pdf/2024-12-12/email_f424df33-6910-5833-9f4a-b7c3f1bd2e8c.md
长春高新2024年归属于母公司净利润预计同比增长率为多少？,预计2024年长春高新归属于母公司净利润增长率为-15.04%。,<tr><td>归母净利润增长率</td><td>10.18%</td><td>9.48%</td><td>-15.04%</td><td>9.43%</td><td>7.22%</td></tr>,pdf/2024-12-12/email_f424df33-6910-5833-9f4a-b7c3f1bd2e8c.md
长春高新2024年的净资产收益率（ROE，归属母公司摊薄）预测值是多少？,长春高新2024年净资产收益率（归属母公司摊薄）预测值为15.98%。,<tr><td>ROE（归属母公司摊 薄)</td><td>福 22.94%</td><td>20.53%</td><td>15.98%</td><td>15.93%</td><td>15.59%</td></tr>,pdf/2024-12-12/email_f424df33-6910-5833-9f4a-b7c3f1bd2e8c.md
光大证券建议关注哪些光伏产业链相关上市公司？,光大证券建议重点关注具备技术、成本和规模优势的硅料环节公司通威股份、协鑫科技（H）；组件一体化龙头企业晶澳科技、隆基绿能、晶科能源、阿特斯、天合光能；以及辅材龙头企业福斯特、福莱特。,重点关注具备技术、成本和规模优势的通威股份、协鑫科技（H）等；（2）建议关注组件价格见底回升直接受益的组件一体化龙头晶澳科技、隆基绿能、晶科能源、阿特斯、天合光能等；（3）...重点关注在成本、规模、市占率、现金储备等多方面均具备明显优势的辅材龙头福斯特、福莱特等。,pdf/2024-12-12/email_c9e016ef-6814-5b04-ad64-a2a292cb2ec0.md
东方盛虹控股股东及其一致行动人计划在2024年11月13日起6个月内增持公司A股股份的金额区间分别是多少？,盛虹科技本次增持金额不低于人民币8亿元，不超过人民币16亿元；盛虹石化增持金额不低于人民币6亿元，不超过人民币12亿元；盛虹苏州增持金额不低于人民币6亿元，不超过人民币12亿元，三者合计增持金额不低于人民币20亿元，不超过人民币40亿元。,盛虹科技及其一致行动人盛虹石化、盛虹苏州，计划自公告披露日起6个月内，通过深圳证券交易所以集中竞价交易方式增持公司A股股份，本次合计增持金额不低于人民币20亿元，不超过人民币40亿元...盛虹科技本次增持金额不低于人民币8亿元，不超过人民币16亿元；盛虹石化本次增持金额不低于人民币6亿元，不超过人民币12亿元；盛虹苏州本次增持金额不低于人民币6亿元，不超过人民币12亿元。,pdf/2024-12-12/email_4bd92b98-ead2-5fc8-a08a-493a840eb979.md
东方盛虹2024、2025、2026年预计归母净利润和对应每股收益(EPS)是多少？,预计东方盛虹2024年归母净利润为-13.4亿元，EPS为-0.2元；2025年归母净利润为13.0亿元，EPS为0.2元；2026年归母净利润为22.4亿元，EPS为0.3元。,盈利预测与估值：预计公司2024、2025、2026年归母净利润分别为-13.4/13.0/22.4亿元，EPS分别为-0.2元，0.2 元、0.3元。,pdf/2024-12-12/email_4bd92b98-ead2-5fc8-a08a-493a840eb979.md
宁德时代在机器人领域的专利布局和应用进展如何？,宁德时代已成功获得10项与机器人相关的专利，涵盖了移动机器人、物料抓取机器人以及机器人关键组件等多个领域，未来能源研究院联合上海交通大学研发多款机器人，为投入工厂应用做准备，其创新实验室已组建团队专注于机械臂的自主研发。,公司已成功获得10项与机器人相关的专利，涵盖了移动机器人、物料抓取机器人以及机器人关键组件等多个领域。,pdf/2024-12-12/email_8c05a294-f843-57af-b7f8-74d2ea173ad0.md
中国神华2023年的分红比例是多少？未来分红比例有何展望？,中国神华2023年分红比例为75%，公司自2020年起分红比例始终大于70%。根据报告，未来中国神华资本开支有限，分红比例有望进一步提高。,公司2020年起分红比例始终大于70%，2023年分红比例为75%，未来公司资本开支有限，分红比例有望进一步提高。,pdf/2024-12-12/email_bbc60761-f415-5a15-8df2-84f6aa67715e.md
截至2024年第三季度，中国神华的控股股东是谁，持股比例是多少？,截至2024年Q3，中国神华的控股股东为国家能源集团，持股比例为69.52%，实际控制人为国务院国资委。,截至2024年Q3，国家能源集团持股69.52%，公司实控人为国务院国资委。,pdf/2024-12-12/email_bbc60761-f415-5a15-8df2-84f6aa67715e.md
中国神华2024-2026年归母净利润的预测为多少？相应的每股收益(EPS)为多少？,预计中国神华2024-2026年归母净利润分别为583.8亿元、608.3亿元、638.1亿元，对应EPS分别为2.94元、3.06元、3.21元。,我们预计公司2024-2026年归母净利润为583.8亿元、608.3亿元、638.1亿元，折合EPS分别为2.94、3.06、3.21元。,pdf/2024-12-12/email_bbc60761-f415-5a15-8df2-84f6aa67715e.md
2024年国轩高科的归母净利润及同比增长率预测如何？,2024年国轩高科的归母净利润预测为9.80亿元，同比增长率为4.4%。,我们预计公司24-26年归母净利润分别为9.80/15.45/19.62亿元...（主要财务数据及预测表：净利润(百万元)2024E为980，同比+4.4%）,pdf/2024-12-12/email_c1d20881-9394-59f6-8c17-1074bae59591.md
2024年国轩高科各主要业务板块（动力电池系统、储能、输配电、其他业务）的毛利率预测分别是多少？,2024年国轩高科各主要业务板块的毛利率预测分别为：动力电池系统14.13%，储能23.68%，输配电20.00%，其他业务66.00%。,表1国轩高科分产品盈利预测...动力电池系统毛利率2024E为14.13%，储能23.68%，输配电20.00%，其他业务66.00%。,pdf/2024-12-12/email_c1d20881-9394-59f6-8c17-1074bae59591.md
2024年11月20日，国轩高科的每股收益（EPS）、市盈率（PE）和股息率分别是多少？,2024年11月20日，国轩高科的每股收益（EPS）为0.55元，市盈率（PE）为43.84倍，股息率为0.4%。,主要财务指标表：2024E每股收益0.55元，P/E 43.84，股息率0.4%。,pdf/2024-12-12/email_c1d20881-9394-59f6-8c17-1074bae59591.md
截至2024年11月19日，中国建筑公司的市净率（PB）和市盈率（PE）分别是多少？其股息率为多少？,截至2024年11月19日，中国建筑的市净率为0.57，市盈率为5.0，股息率为4.45%。,"表3:七大指数中建筑装饰行业上市公司（截至2024/11/19)...601668.SH 中国建筑 2,538 0.57 5.0 4.45%",pdf/2024-12-12/email_af113571-49cf-5cab-a952-cd8d300dc5c9.md
2024年全年，中国电建与中国能建在能源建设新签订单方面表现如何？,中国电建与中国能建2023年能源建设新签订单依旧保持增长，但增速有所回落。,从微观层面来看，两大能源建设央企，中国电建与中国能建2023能源建设新签订单依旧保持增长，但增速有所回落。,pdf/2024-12-12/email_af113571-49cf-5cab-a952-cd8d300dc5c9.md
‘新国九条’政策对建筑央国企如中国建筑、中国中铁等公司有何具体影响？,‘新国九条’提升了上市公司质量，加强了持续监管和退市监管，带动中国建筑、中国中铁等建筑央国企估值向净资产回归，估值提升明显。,‘新国九条’指引上市公司质量提升将有助于行业央国企价值重估，估值向净资产回归...我们建议关注两大投资方向：1）同时受益于财政货币逆周期政策加强和新国九条带来的上市公司质量提升的建筑央国企板块，建议关注中国建筑、中国中铁...等公司；,pdf/2024-12-12/email_af113571-49cf-5cab-a952-cd8d300dc5c9.md
华创证券对汽车行业未来3-6个月的评级是什么？,华创证券对汽车行业的评级为推荐，预期未来3-6个月内该行业指数涨幅超过基准指数5%以上。,行业投资评级说明：推荐：预期未来3-6个月内该行业指数涨幅超过基准指数5%以上;,pdf/2024-12-12/email_3eb9fd72-5795-5884-84a4-f0a1caea2547.md
